#{"t_start": 1683883831.7376928, "env_id": null}
r,l,t
-0.848949,11,144.308189
0.068694,34,144.381947
-1,10,144.403826
-0.611297,6,144.417371
-0.15347,62,144.563169
-1.254016,12,144.590372
-0.310057,29,144.658648
-0.381487,38,144.742374
-1.486084,35,144.82426
-1.091073,13,144.855076
-1.019488,22,144.89837
0.470526,50,145.005588
-1.08489,30,145.07232
-1.212629,21,145.117645
-0.757059,21,145.16309
-1.052985,22,145.235535
-1,12,148.449436
-1,15,148.466888
-1,29,148.506562
-1,23,148.536661
-1,11,148.551266
-1,27,148.579684
-1,19,148.602916
-1,28,148.636206
-1,33,148.669595
-1,16,148.686053
